Emotion,Text
joy,I'd just got the top mark in an exam.     
fear,My brother and I were driving to Brisbane when he drove back onto  the road     
anger,I was at the corner shop     
sadness,My mother died of cancer after a 4 year illness - I think the  most pregnant moment of sadness was the next morning     
disgust,A lecturer in great detail spoke about his sexual experiences.     
shame,I was walking outside the union refec after rain when I tripped  and fell.     
guilt,I stole 5c from my mother's purse for a choo-choo bar - I was 6.     
joy,On a sailing boat at night     
fear,Fear of sexual overtures from a close relative in the family.     
anger,When my rights to use a shared house had been usurped by  co-owners out of pure selfishness.     
sadness,At rejection / being ignored by a loved person held in great  esteem.     
disgust,"Viewing the nuclear war film \Threads\"".""     "
shame,Following heavy stirring / ridiculing a close friend who was  very vulnerable to such attack - inspiring fierce     
guilt,Guilt at having pressed another person to expose/explore his  personal weaknesses/faults     
joy,Family member survived an operation.     
fear,I was walking to my car at night and thought that I was being  followed.     
anger,I walked in on a teenage patient of mine (I work in a hospital)  as he was going through my office drawers and he had removed  money from my purse.     
sadness,Death of grandmother.     
disgust,When I became aware that an acquaintance had stolen from friends.     
shame,Caught cheating on a diet.     
guilt,I had shown anger toward my dog and he was killed later that day.     
joy,A close married friend has just had his first child.     
fear,Stranded in the north of Fraser Island with a submerged 4 WD hire  vehicle.     
anger,Not being alowed on a school camp with the class I'd been in for  11 years (I had stayed down due to illness)     
sadness,At the funeral of a friend about 20 years old     
disgust,A female friend was violently ill on the return journey from a  wedding reception we attended. Getting her out of the car when  home took quite a while.     
shame,Cheating in a minor geography exam at school.     
guilt,I wasn't able to see my girlfriend on her birthday and because I  was late arriving home from uni     
joy,Having received an offer to do post-graduate work.     
fear,Taking a trip to crocokile country I fell out of the boat and was  motivated by fear of being eaten to perform great swimming feats.     
